sale_id,date,customer_id,product_id,quantity
602520-SGJTW,03/10/2023,416292-CQZCUC,08-Pon,3
602521-UHBD3,12/11/2018,416728-E5HRDU,089-GNo,3
602522-SZBLN,09/26/2018,417045-6O9JD3,054-ANo,4
602523-FK37A,10/05/2018,416865-RGB93W,164-FCo,4
602524-E3CZF,01/25/2023,417146-ZEZ5EH,67-Ors,4
602525-I11FD,01/05/2017,416431-UKWQVR,63-Mrs,2
602526-VGMVL,01/22/2023,416655-9WSZV8,103-Fnt,4
602527-CTB3Y,03/01/2022,417016-CKMALQ,73-Prs,1
602528-U5KNL,12/06/2021,416292-CQZCUC,139-ISu,1
602529-C043S,07/17/2019,416734-GSIWG0,267-PCo,3
602530-703SN,07/04/2023,416646-OGZ2UE,03-Sor,2
602531-SF8H1,06/25/2022,417344-FH00A0,227-MCo,5
602532-5C2JP,04/25/2018,417080-Q8VA8X,253-LCo,3
602533-RZTCM,12/11/2021,416265-YO1750,084-ENo,5
602534-39P4Z,05/15/2020,416839-32LX2T,028-NCo,4
602535-K1KAV,05/19/2017,416828-PEFJAW,77-Prs,2
602536-Y9OG5,04/06/2023,417127-FA37DL,043-SCo,2
602537-63475,11/17/2017,417364-JN6OCJ,08-Eed,3
602538-HGFEE,02/11/2022,416585-6ZX1TV,183-MCo,5
602539-UNG31,10/22/2023,417021-TKB9OI,054-ANo,5
602540-Z0BFB,02/16/2020,416585-6ZX1TV,119-RNo,3
602541-N1483,11/04/2019,416273-JRHT7Z,07-Pon,2
602542-F5OML,11/05/2018,416673-5R96KH,251-PCo,1
602543-B295R,06/04/2020,416359-C9ROS7,19-Gns,4
602544-TE6AJ,07/02/2021,416697-8ZGVWW,60-Lrs,3
602545-DH9TG,09/03/2020,417008-BP6NLN,94-Trs,4
602546-RKEXA,05/17/2018,416318-6T1NTM,15-Brs,1
602547-1A99T,03/21/2019,416310-97Y2LO,079-DNo,4
602548-GT9YA,12/21/2017,416026-6246HI,06-Sor,1
602549-RAWS9,11/22/2018,416010-2QP89U,12-Wus,5
602550-TYISZ,11/20/2018,416825-SA7YVD,74-Prs,2
602551-XBIHU,06/20/2017,416913-N1TH1X,243-SCo,5
602552-8Z2U5,01/15/2019,416885-NLC8JP,081-ENo,5
602553-P71MS,05/23/2019,416842-TIXC7U,064-CNo,5
602554-MHRMK,02/14/2017,417398-5S74ND,007-DCo,4
602555-ZAYS0,09/17/2018,416170-EJLA0G,32-Wns,1
602556-869T9,10/19/2018,417304-F07OL9,259-BCo,2
602557-IK44V,03/27/2018,416496-RVBJFV,059-BNo,3
602558-ZYFLK,07/15/2018,416340-S9BP4M,105-Lnt,2
602559-SPC6K,06/05/2017,416538-FZWKXX,174-JCo,3
602560-W8RQS,03/02/2017,416226-2NNUVY,117-RNo,3
602561-WA2K1,10/15/2023,417099-9MYYOK,010-DCo,2
602562-2MLLX,07/14/2018,417187-UIS2GY,101-NNo,1
602563-1VEC0,06/30/2020,417248-TRC85E,291-PCo,4
602564-GACOY,04/14/2018,416429-G298CQ,13-Sor,5
602565-3TL9P,05/03/2019,416897-RCTLT4,109-Vnt,4
602566-QYSBH,05/27/2018,416538-FZWKXX,088-GNo,4
602567-IOJ7D,12/13/2022,416124-NRIUU9,253-LCo,4
602568-2L2GG,01/10/2020,416511-PNMJQY,040-SCo,2
602569-TYS4C,12/19/2019,416619-CCASBU,14-Pon,2
602570-TDXAK,01/26/2023,416231-QDY4LM,70-Prs,5
602571-REDVM,09/05/2022,417173-B0UKOE,089-GNo,4
602572-EPI6K,10/03/2020,416907-P7BD4W,46-Hrs,2
602573-YV01B,03/08/2018,417267-NIDP9M,135-ESu,3
602574-BS56K,10/05/2022,416767-MOFMMW,094-HNo,3
602575-QGTWV,04/12/2020,416041-UXQPHR,254-SCo,5
602576-3RBWG,12/06/2022,416472-5QJICJ,42-Yus,2
602577-N5667,03/21/2017,416435-IRC9ZD,01-Ars,3
602578-QAM8J,01/17/2019,416620-OV6TT9,10-Pre,1
602579-WY8SC,08/02/2022,417117-JMMB5J,29-Tns,2
602580-X33U2,11/19/2020,416341-18O1BJ,23-Mns,4
602581-SW4D0,02/04/2023,417017-5U6JZV,070-CNo,1
602582-CF81Q,06/24/2017,416039-KEP7Y6,31-Wns,4
602583-8O06H,05/13/2017,416528-1DWWO8,087-GNo,5
602584-JY825,02/25/2023,416641-B2SERE,16-Pon,1
602585-XAIRO,09/13/2023,416236-13C9XQ,04-Dry,2
602586-YULS3,04/14/2020,416571-0ENV5S,164-FCo,4
602587-89Q2Z,09/30/2023,416042-62GDSW,20-Hns,1
602588-8RIGA,07/28/2022,416531-MENVG3,09-Pon,1
602589-XTFUU,06/22/2023,416778-WJUIIY,10-Bed,1
602590-8PR9J,02/14/2018,417415-ZBGTJ5,086-GNo,2
602591-BPYG1,11/30/2022,417331-48UACT,24-Mns,5
602592-VIOXH,09/19/2021,417415-ZBGTJ5,193-ICo,5
602593-TX9FA,01/28/2023,416092-CFL0UK,081-ENo,5
602594-3FOX4,05/16/2020,416268-ZXYVGI,195-SCo,4
602595-1IZTT,12/29/2020,416406-AXP0WF,92-Srs,2
602596-KDNFL,10/16/2020,417028-SNFFYK,62-Lrs,1
602597-3TT7K,09/23/2020,417354-G3AUT3,21-Pre,2
602598-O9Q4B,02/18/2018,416577-MRUYP0,08-Hor,2
602599-Q2X4L,03/25/2023,416990-UDUAHG,08-Cus,3
602600-HO8AZ,11/29/2018,417080-Q8VA8X,16-Brs,4
602601-HFVVI,02/07/2022,416110-LGZUI1,174-JCo,2
602602-WFMLT,11/16/2020,416974-L5EFJP,255-WCo,1
602603-JVVJF,02/06/2017,416336-BC76UB,112-RNo,4
602604-UHB3N,12/19/2023,417241-2TLA27,81-Rrs,3
602605-J272O,07/13/2022,416849-A9OEKN,218-TCo,3
602606-ECMF5,11/14/2017,416851-5IZOLN,271-HCo,5
602607-Y4T8V,02/27/2019,417386-8PNNE6,59-Lrs,1
602608-4FWOW,08/19/2022,416948-KE2GJR,101-NNo,4
602609-Y4X99,07/20/2020,416485-JC1YDM,78-Qrs,3
602610-IA9PV,08/08/2022,416750-B0OQVS,195-SCo,1
602611-FS5O9,08/26/2017,416765-9DL5TG,12-Pre,3
602612-XFIQG,04/03/2018,416307-30LVYL,06-Med,2
602613-6UNCX,03/20/2022,416877-100VHM,127-WNo,4
602614-VRUV7,01/03/2018,416499-RZD5E9,32-Crs,3
602615-ZWMK1,11/14/2019,416395-XMCTHP,044-SCo,2
602616-PUHID,10/19/2020,416516-VXYZX9,197-SCo,5
602617-988SU,01/24/2022,416114-OXFQ8M,08-Cus,5
602618-GGOFJ,02/02/2022,416067-14VE92,273-RCo,5
602619-TUXUH,10/31/2019,416531-MENVG3,60-Lrs,1
602620-ZAK12,05/25/2018,417360-S2XQUZ,053-ANo,2
602621-QL4NX,02/06/2017,417116-BCPWEI,164-FCo,5
602622-2RYTQ,03/05/2020,416487-PT5R5R,10-Sns,1
602623-HMTT3,09/12/2018,417014-A6MDMM,216-WCo,4
602624-7EPLX,03/01/2018,416307-30LVYL,064-CNo,1
602625-3A5ZR,02/01/2022,416240-4JWTEK,02-Ted,1
602626-SB2W2,09/11/2022,417399-DAFS1I,12-Por,1
602627-Y97QX,05/27/2023,416411-KB68RE,130-BSu,5
602628-M4K6P,05/11/2021,416601-B2UUIJ,178-DCo,5
602629-4R8XD,09/09/2018,416726-TNSRTW,144-SSu,1
602630-Y76E9,05/27/2020,416172-5BA75U,247-PCo,2
602632-3MO6T,11/30/2018,417413-V6XGZ7,74-Prs,2
602633-7NB8I,04/23/2017,416595-68NTK6,011-ECo,3
602634-U0S9O,03/21/2020,416353-EL8HL8,016-KCo,3
602635-JY7ZC,07/21/2020,416597-GS8G8T,18-Pon,5
602636-LUZ87,01/15/2021,416978-U3ASNR,23-Mns,4
602637-OMDMA,06/05/2022,417245-TBYRGC,14-Pry,3
602638-EEWBE,09/28/2017,416179-R11Q7U,211-WCo,1
602639-06L3U,12/11/2017,416545-DGBK2L,42-Yus,2
602640-UPC85,03/23/2018,416560-ERXDOU,01-Aed,5
602641-EDIEK,09/11/2017,416383-13N3BZ,49-Aol,1
602642-OP4XY,11/28/2021,416524-5NKB4E,15-Aed,5
602643-6ZNKM,08/11/2019,416815-W6TM2O,09-Ror,2
602644-6LNU8,03/22/2023,416236-13C9XQ,11-Ted,5
602645-DOO2E,08/23/2022,417229-PQO2LN,58-Lrs,4
602646-BCJT7,07/26/2023,417318-3AMB3L,073-CNo,2
602647-DH6GY,05/12/2023,416512-3ODSX4,227-MCo,1
602648-9T3G4,07/13/2022,416669-Y6RH05,14-Brs,4
602649-7OGW9,02/06/2020,417023-2RH2XK,251-PCo,1
602650-MNTBT,05/09/2021,416711-33E1I1,06-Pon,3
602651-DRVDX,05/04/2019,416318-6T1NTM,28-Crs,4
602652-PK6VH,05/10/2017,417116-BCPWEI,71-Prs,4
602653-M016D,10/06/2019,417119-PQ4DDV,91-Srs,4
602654-YD16B,02/10/2017,416639-VINDH4,09-Pon,5
602655-BMM7Z,11/28/2021,417199-CYUKND,101-NNo,4
602656-YN02K,12/01/2023,416647-AXYLNF,26-Rns,3
602657-LTA0D,09/07/2018,416211-D9CSS9,084-ENo,2
602658-875PO,02/01/2020,417203-2GUWJP,257-CCo,5
602659-5V7LZ,07/20/2022,417160-VOB5AP,26-Rns,1
602660-WYX15,10/25/2021,416007-7P5TB9,16-Bct,5
602661-1H1Z5,03/14/2017,416924-WG84D4,222-RCo,5
602662-4G2Q0,05/27/2017,416454-TR6SNG,16-Pon,1
602663-HGEAW,01/04/2017,416315-5G10UR,213-WCo,3
602664-CO2KB,03/31/2019,416256-O2M71H,087-GNo,3
602665-O7Z0K,12/16/2021,417301-6SGP3J,05-Ere,1
602666-77A53,01/04/2017,417169-H8N92T,156-(Co,3
602667-TERWR,07/26/2020,416020-KX7EED,146-SSu,1
602668-V8STL,02/16/2021,416477-T6DVWR,115-RNo,4
602669-YO1PH,08/28/2019,416043-M31YIH,12-Wus,1
602670-SIXT4,11/15/2020,417098-Y58VRW,041-SCo,1
602671-MUYI3,08/11/2019,416396-HJ3MUU,097-INo,4
602672-LOEG9,01/09/2022,417320-779460,03-Cct,4
602673-4ERFX,05/16/2021,417117-JMMB5J,03-Cct,5
602674-CIF6Y,05/27/2018,416717-2RVNDF,077-DNo,4
602675-BK9FB,08/01/2020,416477-T6DVWR,119-RNo,5
602676-P0QHC,05/04/2019,416008-4874FR,10-Pre,2
602677-0L2D4,10/07/2020,416111-B0Z3NX,290-PCo,2
602678-HOPIP,09/27/2020,417119-PQ4DDV,34-Cns,2
602679-4AXB3,05/06/2018,417035-NXD70F,117-RNo,3
602680-AJAVE,05/24/2019,416894-Q1XGBN,234-ECo,4
602681-JY0ZD,09/05/2023,417203-2GUWJP,17-Gns,5
602682-6UDKN,05/08/2021,416534-7OI0E0,093-HNo,5
602683-EMNJN,07/19/2023,417000-C9MV9E,083-ENo,3
602684-LTI7P,02/02/2018,416378-TRFLQB,13-Sns,2
602685-0NZ2V,11/09/2017,416617-QMKTGV,119-RNo,3
602686-VKO1X,08/24/2019,416597-GS8G8T,251-PCo,3
602687-42ZD7,11/04/2019,416989-8MFS0I,122-SNo,5
602688-GMJX9,03/10/2021,417046-IH66W5,07-Bor,4
602689-S3K2J,01/17/2017,416806-0W9RY7,15-Aed,4
602690-8LZ7U,01/20/2023,416256-O2M71H,197-SCo,5
602691-LVOKE,11/09/2022,417003-RK1DJR,053-ANo,4
602692-HZAQ5,03/29/2023,416393-DSK7N8,111-RNo,5
602693-MWPES,11/18/2022,416957-Y06FTL,10-Rus,4
602694-0CJ14,03/18/2023,416793-SN2S8N,269-ACo,5
602695-Z53FJ,03/01/2018,417113-K0YEHV,252-RCo,5
602696-RH4JX,12/05/2023,417049-3ZSMV3,011-ECo,3
602697-HQ358,07/03/2017,416896-W0FGZV,250-CCo,3
602698-P011K,09/22/2021,416555-ZDXIMY,31-Crs,4
602699-1WVVK,07/06/2019,416454-TR6SNG,061-BNo,3
602700-J2X1N,09/01/2023,417233-YJZ991,11-Sor,2
602701-61IHX,10/07/2019,417345-UY9F8P,294-ICo,1
602702-L1NM0,04/05/2021,416579-FYH1FK,99-Wrs,4
602703-WE3E9,12/09/2017,416302-KYTT3I,08-Qns,4
602704-SH14T,03/11/2017,417295-B7NUGP,073-CNo,2
602705-NE58V,05/17/2017,416033-O9T7E8,083-ENo,2
602706-QVAVB,08/01/2023,416155-IMQODP,296-ICo,5
602707-PM0FB,08/07/2018,416057-BMYOFQ,031-QCo,3
602708-ZN9K7,03/08/2017,416540-EEDHHJ,32-Crs,3
602709-PP29R,11/28/2020,416883-Q7W7JP,26-Oon,5
602710-DAJDD,11/17/2020,417041-857NZ3,87-Srs,5
602711-MVCO0,07/22/2017,416669-Y6RH05,295-ICo,5
602712-OXZQC,04/02/2022,417249-HPZRV7,99-Wrs,5
602713-FP693,05/02/2018,416303-MJ70E3,26-Oon,4
602714-PLTBH,05/24/2019,417391-GMDRDS,026-NCo,1
602715-4JOUK,09/22/2022,417103-FZ8Q4V,07-Mns,2
602716-9S445,10/20/2019,417240-34MPYO,10-Bed,5
602717-GPKBV,07/27/2021,416988-6GMD47,75-Prs,2
602718-OE04Z,10/22/2022,416068-MPNSM4,13-Pon,3
602719-6O1QR,06/07/2021,416802-VYV2GQ,10-Bed,2
602720-34A9S,02/08/2020,416780-N4REGB,079-DNo,4
602721-IM4BB,11/11/2022,416337-7L8V1Z,249-ICo,2
602722-TPGWW,11/12/2022,417357-T2EEHF,07-Pon,5
602723-JXL11,02/06/2017,416345-ALMJEG,95-Trs,3
602724-2CJAF,04/11/2022,417329-U43IED,221-RCo,1
602725-CO8XF,01/04/2017,417205-P81L51,58-Lrs,1
602726-1CL2E,09/01/2019,417312-V917RM,265-BCo,5
602727-2GISK,09/14/2022,416920-QR6F7Q,105-Lnt,5
602729-QDZCE,04/06/2022,416778-WJUIIY,012-GCo,1
602730-P2EVR,06/13/2022,417076-SJ6VV8,26-Oon,3
602731-EZAYU,01/08/2019,417367-PF9PAV,184-ICo,5
602732-NWC5A,07/17/2020,417387-IT1EKK,279-RCo,2
602733-44UMG,03/29/2020,416507-YKNFU8,057-BNo,3
602734-F9M4O,11/16/2023,416364-UQO1VS,092-HNo,1
602735-5B8W3,03/23/2023,416589-LB7WXR,126-WNo,4
602736-ZHZ7X,02/04/2021,416803-U7DKNN,35-Crs,3
602737-7Q69D,05/28/2021,416214-0LBT3G,47-Hrs,3
602738-9MWNO,10/06/2018,416400-JXJN6F,293-ICo,5
602739-ZE3IQ,12/19/2023,416157-DD03UV,60-Lrs,5
602740-J75AO,10/28/2019,416140-DRO8BN,124-TNo,2
602741-J7B2F,06/02/2022,416794-N16UXF,03-Cct,3
602742-E0SZM,02/12/2022,417345-UY9F8P,159-SCo,5
602743-7V037,05/29/2017,416216-1QKBHB,273-RCo,5
602744-YY7VM,03/25/2020,416903-3DR2H2,92-Srs,4
602745-YBMVG,03/19/2018,416589-LB7WXR,174-JCo,1
602746-JHPUI,02/03/2020,416706-WJWGAB,266-PCo,2
602747-DXDX3,10/09/2021,416491-9W4J66,74-Prs,5
602748-6AJ6Z,03/15/2018,417291-F0JQQN,148-SSu,4
602749-93VQN,11/12/2017,416354-8KZRUI,01-Ars,3
602750-RYL9E,06/15/2023,416693-TAO1CJ,28-Sns,3
602751-MBA1O,06/22/2022,416353-EL8HL8,22-Brs,2
602752-GCXHN,03/27/2019,416662-ODCK82,54-Hrs,4
602753-8PZ5I,05/17/2018,416806-0W9RY7,119-RNo,5
602754-ZWLNT,08/17/2019,417091-64SKBC,82-Rrs,4
602755-MU2NO,11/01/2019,416346-QTOAMD,146-SSu,3
602756-3LMNJ,10/04/2023,416224-8CWN2Y,201-SCo,5
602757-NFG3C,12/10/2018,416211-D9CSS9,55-Irs,5
602758-EAA5M,06/04/2021,417381-S0RS95,152-(Co,5
602759-V4RYA,03/25/2019,416487-PT5R5R,34-Cns,5
602760-P1K20,07/31/2022,417097-DTAEGR,256-GCo,1
602761-CMCM6,12/30/2021,417291-F0JQQN,24-Ore,1
602762-QCM8R,09/18/2021,417369-NMJ5IA,80-Rrs,1
602763-MUILS,11/09/2022,416083-PGB7R3,12-Pre,3
602764-BIJG3,06/17/2022,417144-SOJRPP,092-HNo,1
602765-0K61O,10/03/2019,417408-LBBB0H,007-DCo,2
602766-VGW1D,01/02/2017,416604-7D2KD1,31-Wns,3
602767-GQ5G7,05/23/2022,416954-RFQLA0,200-SCo,3
602768-MMOG5,01/09/2023,416608-TEAVT8,266-PCo,3
602769-TXQHU,01/09/2017,416824-7YE0QZ,182-MCo,2
602770-1JPU3,10/09/2020,417406-LWIMRS,227-MCo,1
602771-FJFCW,06/11/2019,416006-IGQPKI,04-Dry,3
602772-BK0OS,11/07/2020,417333-SVHOTQ,216-WCo,2
602773-3SX8X,02/03/2017,416473-DAN085,52-Hrs,9999
602774-ZD3ST,03/03/2019,417352-J02GRX,279-RCo,4
602775-HR6SA,11/17/2020,417343-ZQFEZK,183-MCo,4
602776-KSLGX,01/05/2021,416604-7D2KD1,91-Srs,2
602777-EFR69,11/02/2019,416295-QSQCQ3,13-Med,5
602778-Q0JRG,12/05/2021,416259-90KM3T,04-Dry,2
602779-SU6LE,12/20/2023,416395-XMCTHP,294-ICo,2
602780-KNFHR,06/21/2019,417021-TKB9OI,265-BCo,1
602781-EVBWJ,11/29/2017,416407-OY4DD1,099-MNo,1
602782-IVSDP,09/25/2022,416096-JB1QX6,251-PCo,2
602783-2TUO2,09/11/2023,416967-UZ1EGN,084-ENo,5
602784-GD51T,06/05/2022,416377-NGWYX9,088-GNo,3
602785-QNNHQ,04/04/2021,416231-QDY4LM,064-CNo,2
602786-JYYHB,08/11/2022,417373-OM08TV,257-CCo,1
602787-MYJCT,07/11/2020,417050-0QABXW,227-MCo,5
602788-JVFPS,06/02/2019,416125-K9XJUY,180-GCo,1
602789-73CE2,10/11/2020,416897-RCTLT4,74-Prs,3
602790-BI6G5,09/23/2022,416887-1HX6ZD,139-ISu,2
602791-O7KY8,11/13/2020,417144-SOJRPP,010-DCo,1
602792-E4REQ,06/08/2017,417394-P4FMPM,012-GCo,2
602793-CQFEG,05/03/2020,417267-NIDP9M,63-Mrs,5
602794-MCWPI,11/05/2023,416900-FU7BFX,12-Pre,2
602795-4EILN,05/10/2021,416510-AJ2K8X,46-Hrs,3
602796-NAB97,01/04/2021,416169-BOVAKH,03-Sor,3
602797-7PS21,01/30/2018,416903-3DR2H2,267-PCo,4
602798-XOHFS,03/08/2023,416974-L5EFJP,73-Prs,4
602799-MAN30,06/29/2021,416022-JR64DP,246-BCo,5
602800-UKQEA,12/12/2020,417023-2RH2XK,14-Pon,1
602801-UOVOF,05/28/2017,416577-MRUYP0,178-DCo,4
602802-BLDWX,10/30/2019,417135-DTS1FB,221-RCo,3
602803-I14JG,06/25/2019,416907-P7BD4W,031-QCo,2
602804-YRFAI,03/23/2020,417345-UY9F8P,26-Crs,4
602805-SAGP3,09/23/2020,416976-1GD1T5,34-Crs,3
602806-Z1FZS,06/20/2018,417273-KV9DT9,08-Cus,5
602807-8NRMC,04/29/2020,416366-7FLQHR,04-Hns,5
602808-RS3T6,07/26/2020,416136-5U6HC3,085-FNo,3
602809-ARCZC,03/18/2021,416650-TJLMZ0,147-SSu,2
602810-SD13S,11/27/2021,417358-U4B9SN,102-PNo,1
602811-6OJS7,09/20/2021,417157-GWUBUG,164-FCo,5
602812-K3Q7X,01/11/2017,416240-4JWTEK,29-Crs,5
602813-43L8H,11/11/2019,417068-75ELTF,038-SCo,3
602814-CQQ5P,03/04/2019,416471-9G5DZX,093-HNo,4
602815-SN0Y3,09/14/2018,416603-XW1VZC,41-Wus,4
602816-R4POL,08/23/2019,417278-W6L01W,01-Pon,2
602817-HPOAS,08/14/2021,416321-FJ7UPF,152-(Co,2
602818-TX0CR,06/17/2021,417279-CNKFHB,174-JCo,4
602819-I8E3O,07/30/2018,416161-1U3493,295-ICo,5
602820-2411N,01/16/2021,417391-GMDRDS,124-TNo,4
602821-0OK5Y,10/15/2022,416532-KK0VM5,31-Wns,3
602822-03J1N,10/12/2022,416584-AJW253,21-Lns,5
602823-XMHNV,07/24/2021,416687-6NKWFG,290-PCo,4
602824-25RE4,03/19/2017,416623-43WFSQ,32-Wns,2
602825-1FL5C,12/29/2022,416213-A2M0W1,01-Por,4
602826-7U676,11/28/2017,416755-DYPMLV,267-PCo,5
602827-ROBH6,07/28/2022,416867-K4AEGV,265-BCo,3
602828-OR0L0,06/01/2021,417276-L4RMVV,296-ICo,3
602829-7SLK6,06/19/2020,417115-A5MF36,234-ECo,5
602830-RGR2S,10/06/2017,417240-34MPYO,078-DNo,5
602831-CNXSF,03/14/2023,416718-DW79WC,122-SNo,1
602832-HFVWF,03/16/2020,416898-Q9BC2B,06-Med,3
602833-A1BYQ,03/09/2021,416124-NRIUU9,05-Jns,1
602834-OL1A5,11/22/2021,416121-6FQJJA,249-ICo,3
602835-HZG4Z,08/06/2019,416656-3XPHX2,69-Prs,1
602836-ML8UU,09/13/2020,416807-9KVLS9,30-Wns,1
602837-EFVOE,06/19/2020,416515-KF1622,94-Trs,4
602838-LU1SP,09/10/2023,416473-DAN085,05-Bon,2
602839-1Q0YX,04/19/2023,416913-N1TH1X,210-WCo,2
602840-I6KYA,06/08/2017,416470-HU7F0I,05-Cor,4
602841-UW9Y0,11/16/2022,416656-3XPHX2,13-Sor,1
599842-HEIZL,11/30/2017,416068-MPNSM4,239-RCo,3
599843-PDVOT,01/30/2017,416801-K7BPGY,04-Aon,5
599844-3MJS5,06/25/2021,417304-F07OL9,17-Brs,1
599845-3DRX3,08/03/2021,416018-755NF4,060-BNo,1
599846-RDGFU,08/16/2019,417377-2SJP75,136-GSu,4
599847-3RAFI,10/06/2017,416134-2ATQYY,227-MCo,4
599848-I2RS6,10/11/2022,417048-QO4Z53,134-CSu,4
599849-VP9TU,12/04/2018,416706-WJWGAB,33-Bns,4
599850-0MR5I,05/16/2017,416963-D0P92K,294-ICo,3
599851-0Q4L9,10/14/2022,416595-68NTK6,177-WCo,4
599852-TGFF3,05/24/2022,417396-6FHRXJ,12-Wus,5
599853-O9900,11/18/2023,416336-BC76UB,,5
599854-C73R0,11/28/2017,416482-AGKC4L,08-Hor,2
599855-JMEJC,05/18/2021,416254-OUHTCS,053-ANo,5
599856-HJ5RY,12/23/2018,416213-A2M0W1,174-JCo,3
599857-DJKZ2,03/21/2018,416148-B0S0R2,102-PNo,4
599858-C6SMI,07/20/2018,417182-AK7MDW,05-Jns,1
599859-EX1Z6,04/25/2018,416613-LEXDW6,19-Brs,1
599860-D1HC3,05/06/2020,417007-RJM4T8,58-Lrs,6666
599861-ESEZ0,01/22/2017,417047-1OB537,148-SSu,5
599862-C3TJJ,06/21/2017,416102-HT7PZE,58-Lrs,2
599863-ZU41C,02/07/2023,416893-W8DT8C,110-RNo,2
599864-DZ885,11/08/2021,416538-FZWKXX,14-Pon,2
599865-LDJPY,05/21/2023,416765-9DL5TG,15-Aed,4
599866-GZKDI,02/04/2020,416272-2KKZMP,038-SCo,4
599867-JKT3N,03/05/2022,417389-X3BQWR,08-Eed,3
599868-RZJT6,07/12/2023,417043-Y2ITL8,112-RNo,3
599869-5WNBS,09/17/2021,416872-EGOK01,08-Eed,3
